project, pr_id, user, pr_title, URL
eslint/eslint,12294,yacmeno,Fix: Added extends value in initializer for react,https://github.com/eslint/eslint/pull/12294
eslint/eslint,12267,mdjermanovic,Update: Array.prototype.flatMap in array-callback-return (fixes #12235),https://github.com/eslint/eslint/pull/12267
eslint/eslint,12240,christianbundy,New: add rule no-unexpected-start,https://github.com/eslint/eslint/pull/12240
eslint/eslint,12229,christianbundy,Update: Add allowAsiHazardAfter option to semi,https://github.com/eslint/eslint/pull/12229
eslint/eslint,12191,Gaafar,New: Allow parallel linting in child processes (fixes #3565),https://github.com/eslint/eslint/pull/12191
eslint/eslint,12143,Validark,Automatically remove `eslint-plugin-` from ruleId's in linter.js,https://github.com/eslint/eslint/pull/12143
eslint/eslint,12116,platinumazure,Chore: Try pinning espree dependency,https://github.com/eslint/eslint/pull/12116
eslint/eslint,12060,jamesgeorge007,New: Adds new info flag,https://github.com/eslint/eslint/pull/12060
eslint/eslint,12047,mdjermanovic,Fix: key-spacing shouldn't report object pattern properties,https://github.com/eslint/eslint/pull/12047
eslint/eslint,12046,mdjermanovic,Fix: quote-props shouldn't report object pattern properties,https://github.com/eslint/eslint/pull/12046
eslint/eslint,12035,christianbundy,Update: auto-fix global strict mode (fixes #12034),https://github.com/eslint/eslint/pull/12035
eslint/eslint,12021,fa93hws,Chore: pass cwd from cli engine,https://github.com/eslint/eslint/pull/12021
eslint/eslint,12003,imai0917,Docs: Fix incorrect example for max-depth rule (#11991),https://github.com/eslint/eslint/pull/12003
eslint/eslint,11987,fa93hws,New: Enable snapshot test for rule tester,https://github.com/eslint/eslint/pull/11987
eslint/eslint,11984,mysticatea,Fix: no-new-wrappers reports only wrappers,https://github.com/eslint/eslint/pull/11984
eslint/eslint,11981,mdjermanovic,New: no-lexical-globals rule,https://github.com/eslint/eslint/pull/11981
eslint/eslint,11966,phenomnomnominal,New: Fix for "no-useless-constructor" (fixes #11693),https://github.com/eslint/eslint/pull/11966
eslint/eslint,11965,fa93hws,Chore: export checkBinary in space-infix-ops,https://github.com/eslint/eslint/pull/11965
eslint/eslint,11962,mdjermanovic,New: prefer-async-await rule (fixes #9649),https://github.com/eslint/eslint/pull/11962
eslint/eslint,11961,manniL,New: add prefer-async-await rule,https://github.com/eslint/eslint/pull/11961
eslint/eslint,11912,mdjermanovic,Fix: curly errors with lexical and function declarations (fixes #11908),https://github.com/eslint/eslint/pull/11912
eslint/eslint,11907,mattrabe,Update: Disallow gremlin chars in no-irregular-whitespace,https://github.com/eslint/eslint/pull/11907
eslint/eslint,11897,fa93hws,Fix: enable getJSDocComment for ObjectExpression (fixes: 11898),https://github.com/eslint/eslint/pull/11897
eslint/eslint,11884,nevir,Bug: nested plugins cannot be found when nested in a shared config (6.0.0),https://github.com/eslint/eslint/pull/11884
eslint/eslint,11877,aladdin-add,Build: update entry in webpack config (fixes #11873),https://github.com/eslint/eslint/pull/11877
eslint/eslint,11858,WaldoJeffers,fix: Cannot read property 'range' of null error with indent,https://github.com/eslint/eslint/pull/11858
eslint/eslint,11857,yoyo837,fix checkbox,https://github.com/eslint/eslint/pull/11857
eslint/eslint,11856,yoyo837,fix typo,https://github.com/eslint/eslint/pull/11856
eslint/eslint,11850,OliverSieweke,Fix: no-param-reassign schema (fixes #11837),https://github.com/eslint/eslint/pull/11850
eslint/eslint,11847,eschaefer,New: add rule no-misspelled-length,https://github.com/eslint/eslint/pull/11847
eslint/eslint,11817,thecotne,Update: in quote-props rule allow consistent-as-needed with numbers option (fixes #8093),https://github.com/eslint/eslint/pull/11817
eslint/eslint,11811,brettz9,Breaking: Let `no-new-object` pass with arguments (fixes #11810),https://github.com/eslint/eslint/pull/11811
eslint/eslint,11807,codetriage-readme-bot,Add CodeTriage badge to eslint/eslint,https://github.com/eslint/eslint/pull/11807
eslint/eslint,11793,bluelovers,Update: Support ignore in no-irregular-whitespace,https://github.com/eslint/eslint/pull/11793
eslint/eslint,11788,IgorNovozhilov,Update: rule 'padding-line-between-statements' - add number of lines,https://github.com/eslint/eslint/pull/11788
eslint/eslint,11785,lusinga,Merge pull request #1 from eslint/master,https://github.com/eslint/eslint/pull/11785
eslint/eslint,11748,dimitropoulos,Chore: `leave` only takes one argument: `node`,https://github.com/eslint/eslint/pull/11748
eslint/eslint,11733,IgorNovozhilov,New: Add events in CLIEngine (fileVerify),https://github.com/eslint/eslint/pull/11733
eslint/eslint,11731,mysticatea,Fix: allow package name in parser in RuleTester (fixes #11728),https://github.com/eslint/eslint/pull/11731
eslint/eslint,11727,dandv,Add prefer-const to eslint:recommended,https://github.com/eslint/eslint/pull/11727
